audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
C-001,checks,check_record,IMG_1380.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1380.HEIC,IMG_1380.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1380.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-002,checks,check_record,IMG_1381.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1381.HEIC,IMG_1381.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1381.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-003,checks,check_record,IMG_1382.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1382.HEIC,IMG_1382.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1382.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-004,checks,check_record,IMG_1383.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1383.HEIC,IMG_1383.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1383.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-005,checks,check_record,IMG_1384.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1384.HEIC,IMG_1384.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1384.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-006,checks,check_record,IMG_1385.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1385.HEIC,IMG_1385.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1385.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-007,checks,check_record,IMG_1927.HEIC,img-Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC,/admin/compliance/checks/sos-entry,,,,IMG_1927.HEIC,IMG_1927.HEIC,,,no,,amount; date; payee; address; Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only; Vision extract or manual field entry from image,unmatched,,File/chunk: IMG_1927.HEIC; Evidence: image_on_disk,,Unmatched check or missing fields,Compare image to physical check; enter fields,,,,,no,no
C-008,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1380-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-009,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1381-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-010,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1382-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
