audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
E-001,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-3,/admin/compliance/reconciliation,2026-04-30,,15.83,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 3; Date: 2026-04-30; Description: POS Purchase MCDONALD'S F11164 2214 N REYNOLDS BRYANT AR *****3739 04/30 7:42; Amount: $15.83; Inferred vendor: MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-002,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-4,/admin/compliance/reconciliation,2026-04-30,,10.33,SQ *CAPACHI'S COFFEE + Hot Springs,SQ *CAPACHI'S COFFEE + Hot Springs,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 4; Date: 2026-04-30; Description: POS Purchase SQ *CAPACHI'S COFFEE + Hot Springs AR *****3739 04/29 01:32; Amount: $10.33; Inferred vendor: SQ *CAPACHI'S COFFEE + Hot Springs,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-003,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-5,/admin/compliance/reconciliation,2026-04-30,,6.63,SQ *CAPACHI'S COFFEE + Hot Springs,SQ *CAPACHI'S COFFEE + Hot Springs,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 5; Date: 2026-04-30; Description: POS Purchase SQ *CAPACHI'S COFFEE + Hot Springs AR *****3739 04/29 01:32; Amount: $6.63; Inferred vendor: SQ *CAPACHI'S COFFEE + Hot Springs,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-004,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-7,/admin/compliance/reconciliation,2026-04-29,,159.1,ACMESOURCE/OFFICEHUB ARLINGTON,ACMESOURCE/OFFICEHUB ARLINGTON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 7; Date: 2026-04-29; Description: POS Purchase ACMESOURCE/OFFICEHUB ARLINGTON TN *****3739 04/28 21:34; Amount: $159.10; Inferred vendor: ACMESOURCE/OFFICEHUB ARLINGTON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-005,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-10,/admin/compliance/reconciliation,2026-04-28,,30.61,Love's #0779 Inside 67 MALVERN,Love's #0779 Inside 67 MALVERN,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 10; Date: 2026-04-28; Description: POS Purchase Love's #0779 Inside 67 MALVERN AR *****3739 04/28 18:19; Amount: $30.61; Inferred vendor: Love's #0779 Inside 67 MALVERN,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-006,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-11,/admin/compliance/reconciliation,2026-04-28,,137.95,NAACP JAX* NAACP JAX A JACKSONVILLE,NAACP JAX* NAACP JAX A JACKSONVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 11; Date: 2026-04-28; Description: POS Purchase NAACP JAX* NAACP JAX A JACKSONVILLE AR *****3739 04/27 22:34; Amount: $137.95; Inferred vendor: NAACP JAX* NAACP JAX A JACKSONVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-007,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-12,/admin/compliance/reconciliation,2026-04-28,,28.17,MO205 HARRISON,MO205 HARRISON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 12; Date: 2026-04-28; Description: POS Purchase MO205 HARRISON AR *****3739 04/27 20:38; Amount: $28.17; Inferred vendor: MO205 HARRISON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-008,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-13,/admin/compliance/reconciliation,2026-04-28,,64.1,TST*FEED AND FOLLY Fayetteville,TST*FEED AND FOLLY Fayetteville,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 13; Date: 2026-04-28; Description: POS Purchase TST*FEED AND FOLLY Fayetteville AR *****3739 04/27 09:56; Amount: $64.10; Inferred vendor: TST*FEED AND FOLLY Fayetteville,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-009,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-15,/admin/compliance/reconciliation,2026-04-27,,107.94,WHOLEFDS FAY #10596 3425 N COLLEGE AVE STE FAYETTEVILLE,WHOLEFDS FAY #10596 3425 N COLLEGE AVE STE FAYETTEVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 15; Date: 2026-04-27; Description: POS Purchase WHOLEFDS FAY #10596 3425 N COLLEGE AVE STE FAYETTEVILLE AR *****3739 04/26 17:33; Amount: $107.94; Inferred vendor: WHOLEFDS FAY #10596 3425 N COLLEGE AVE STE FAYETTEVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-010,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-16,/admin/compliance/reconciliation,2026-04-27,,15.17,MCDONALD'S F10667 450 HWY 65 N CONWAY,MCDONALD'S F10667 450 HWY 65 N CONWAY,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 16; Date: 2026-04-27; Description: POS Purchase MCDONALD'S F10667 450 HWY 65 N CONWAY AR *****3739 04/26 10:38; Amount: $15.17; Inferred vendor: MCDONALD'S F10667 450 HWY 65 N CONWAY,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-011,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-17,/admin/compliance/reconciliation,2026-04-27,,80,LW* ARKANSAS DEMOCRATI LITTLE ROCK,LW* ARKANSAS DEMOCRATI LITTLE ROCK,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 17; Date: 2026-04-27; Description: POS Purchase LW* ARKANSAS DEMOCRATI LITTLE ROCK AR *****3739 04/25 21:02; Amount: $80.00; Inferred vendor: LW* ARKANSAS DEMOCRATI LITTLE ROCK,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
