audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
ADDR-001,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1380.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-002,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1381.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-003,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1382.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-004,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-005,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-006,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-007,address,missing_address,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC,,/admin/compliance/audit/april-2026-missing-addresses.csv,,,,(check image — payee unknown),Expenditure or contribution documentation may require payee address when identified,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-008,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,115,/admin/compliance/audit/april-2026-missing-addresses.csv,04/21/2026,115,50,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-009,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,158,/admin/compliance/audit/april-2026-missing-addresses.csv,04/20/2026,158,300,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-010,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,114,/admin/compliance/audit/april-2026-missing-addresses.csv,04/20/2026,114,22.76,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-011,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,112,/admin/compliance/audit/april-2026-missing-addresses.csv,04/15/2026,112,527.79,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-012,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,157,/admin/compliance/audit/april-2026-missing-addresses.csv,04/14/2026,157,20,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-013,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,150,/admin/compliance/audit/april-2026-missing-addresses.csv,04/08/2026,150,1250,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-014,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,152,/admin/compliance/audit/april-2026-missing-addresses.csv,04/08/2026,152,2267.1,On-Us Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-015,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,139,/admin/compliance/audit/april-2026-missing-addresses.csv,04/02/2026,139,90,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-016,address,missing_address,bank-import-bank-20260519212554-bank-april-2026-csv,147,/admin/compliance/audit/april-2026-missing-addresses.csv,04/01/2026,147,100,Check,Vendor/payee address missing for expenditure reporting,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
