audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
RECON-AMB-25,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/24/2026,,500,,,,,no,,,ambiguous,1776852847271x756057920851001000,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-25,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/24/2026,,500,,,,,no,,,ambiguous,1776031838337x450218419138333400,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-25,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/24/2026,,500,,,,,no,,,ambiguous,1775175778683x509002502371913150,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1777472139300x359959512357702400,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1777236856156x146393724931930260,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1777235637491x418033980831757250,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1777235274185x461650488848214000,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1776730284588x908284208517525800,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1776637878931x811216846378759700,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1776607175417x192070517072904670,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1775776641534x958800634405816800,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1775589270997x553791789767836600,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
RECON-AMB-28,reconciliation,bank_ambiguous,bank-april-2026.csv,,/admin/compliance/reconciliation,04/23/2026,,25,,,,,no,,,ambiguous,1775323353006x108329207270560600,,,Ambiguous bank reconciliation,Resolve 14 ambiguous amount collision(s) manually.,,,,,pending_review,no
